,Player,Team,GS,MP,FGA,2PA,3PA,FTA,DRB,TOV,EPTS
526,Brady Dingess,Morehead State,-0.8531982626676459,-1.3320961360151984,-1.1272094250931175,-1.0806205620649387,-0.7686814344984403,-0.8954999131753162,-1.1726512231366102,-0.9313941897934757,1.3478160054034192
527,Baylor Scheierman,Creighton,1.5043606656385509,1.8763911435346072,2.3161475400279827,0.972121228949162,3.363139691571901,1.0591726170582472,4.05085591582111,1.9938234063908662,19.86567747488377
528,Trey Alexander,Creighton,1.5043606656385509,1.9219662469373033,2.596717366815628,2.4750214687987713,1.8463952275713962,0.9288611150426761,2.0369736453795793,2.2863451660093,18.48451353737457
529,Ryan Kalkbrenner,Creighton,1.5043606656385509,1.6758606885627443,1.499944407554833,2.255084848332975,-0.08876150236028277,1.7758858781438869,1.9111060034769836,0.9699972477263464,13.928447468138492
530,Steven Ashworth,Creighton,1.5043606656385509,1.411525088827107,1.0408301455386864,-0.2741862870236847,2.5263151597095534,0.40761510698039277,0.6524295844510268,1.1162581275355636,11.976763758159892
531,Mason Miller,Creighton,1.3656807286793629,0.5182530621342634,-0.20898090106082412,-0.8973400450101082,0.8003645627434616,-0.6348769091441744,0.27482665874323975,-0.6388724301750414,5.086792349261319
532,Francisco Farabello,Creighton,-0.8531982626676459,0.5547131448564201,-0.4895507278484693,-0.7507156313662439,0.12044463060530411,-0.8303441621675307,-0.0398424460132494,0.09243196887104399,4.262696143984597
533,Isaac Traudt,Creighton,-0.7145183257084577,-0.6393545642942177,-0.6170824672973989,-0.9339961484210744,0.06814309736390733,-0.8954999131753162,-0.7321144764775255,-1.0776550696026928,1.8984064629463748
534,Fredrick King,Creighton,-0.8531982626676459,-0.8672300813076981,-0.7191078588565426,-0.384154597256583,-0.8732845009812338,-0.43940965612081806,-0.35451155076973856,-0.7851333099842585,2.0095706099193436
535,Jasen Green,Creighton,-0.8531982626676459,-0.8581150606271589,-0.948664989864616,-0.8240278381881759,-0.7686814344984403,-0.8303441621675307,-0.7950482974288233,-0.7851333099842585,1.6821925296498073
536,Josiah Dotzler,Creighton,-0.8531982626676459,-1.0768755569601,-0.8721459461952582,-0.8240278381881759,-0.61177683477425,-0.8303441621675307,-1.0467835812340147,-0.6388724301750414,1.6011136646811068
537,Johnathan Lawson,Creighton,-0.8531982626676459,-1.1406807017238747,-0.9741713377544019,-0.9706522518320404,-0.61177683477425,-0.8954999131753162,-0.920915939331419,-0.9313941897934757,1.4865545804138247
538,Walter Clayton,Florida,1.643040602597739,1.3477199440633323,2.112096756909695,1.0820895391820606,2.787822825916537,1.7758858781438869,0.7153634054023247,1.9938234063908662,16.803637836784073
539,Zyon Pullin,Florida,1.018980886281393,1.584710481757352,1.550957103334405,1.9984921244562126,0.329650763570891,2.7532221432606687,0.7782972263536226,0.6774754881079124,14.158277490704029
540,Tyrese Samuel,Florida,1.643040602597739,0.9740040961612244,1.2958936244365458,2.255084848332975,-0.5594753015328534,2.1668203841905997,1.659370719671792,1.2625190073447805,12.832882655510792
541,Will Richard,Florida,1.573700634118145,1.2201096545357832,1.117349189208044,0.16568695390790825,2.0032998272955864,0.6030823600037489,0.27482665874323975,0.6774754881079124,11.04815582412848
542,Riley Kugel,Florida,-0.09045860939211153,0.6549783723423517,0.9643111018693286,0.8254968153052978,0.8003645627434616,0.34245935597260724,0.40069430064583555,1.5550407669632147,9.811185365170767
543,Alex Condon,Florida,-0.7838582941880519,0.3815277519261751,0.27563970884510847,0.6422162982504674,-0.3502691685672664,0.9940168660504617,1.5335030777691967,0.9699972477263464,7.9208710044173785
544,Micah Handlogten,Florida,1.3656807286793629,0.25391746239862584,-0.23448724895061007,0.20234305731887436,-0.7686814344984403,-0.37425390511303264,1.0929663311101117,-0.20008979074739028,5.616630364832149
545,Thomas Haugh,Florida,-0.7145183257084577,-0.12891340618402136,-0.3620189883995397,-0.34749849384561693,-0.24566610208447298,-0.17878665208967628,0.27482665874323975,-0.6388724301750414,3.2454756898645107
546,Denzel Aberdeen,Florida,-0.8531982626676459,-0.575549419530443,-0.41303168417911146,-0.34749849384561693,-0.3502691685672664,-0.569721158136389,-0.8579821183801211,-0.6388724301750414,2.269761642739881
547,Julian Rishwain,Florida,-0.8531982626676459,-0.7578498331412274,-0.8466395983054723,-1.0439644586539725,-0.24566610208447298,-0.8303441621675307,-0.35451155076973856,-1.2239159494119098,1.855246709837652
548,Kajus Kublickas,Florida,-0.8531982626676459,-1.1042206190017179,-1.1527157729829034,-1.0073083552430064,-0.9255860342226305,-0.569721158136389,-1.1097174021853125,-0.6388724301750414,1.624148510569082
549,Bennett Andersen,Florida,-0.8531982626676459,-1.4232463428205906,-1.1272094250931175,-0.9706522518320404,-0.9255860342226305,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.2019568666398193
550,Cooper Josefsberg,Florida,-0.8531982626676459,-1.4232463428205906,-1.0761967293135455,-1.0806205620649387,-0.6640783680156469,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.1107673935941846
551,Alex Klatsky,Florida,-0.8531982626676459,-1.3959012807789728,-1.1782221208726893,-1.0806205620649387,-0.8732845009812338,-1.025811415190887,-1.2355850440879081,-1.2239159494119098,1.065295869042849
552,Jack May,Florida,-0.8531982626676459,-1.405016301459512,-1.1527157729829034,-1.0806205620649387,-0.820982967739837,-1.025811415190887,-1.2355850440879081,-0.9313941897934757,1.2018627227719993
553,Dozier Kintavious,Grambling,1.2270007917201748,0.9466590341196066,1.3469063202161173,1.4119944698807552,0.7480630295020649,1.5804186251205308,0.21189283779194187,1.1162581275355636,11.724648591417258
554,Tra'michael Moton,Grambling,1.296340760199769,1.2292246752163225,1.3213999723263317,1.3020261596478568,0.8526660959848583,1.1243283680660323,0.21189283779194187,1.9938234063908662,12.456487780101567
555,Antwan Burnett,Grambling,0.9496409178017988,1.5573654197157347,0.6582349271918974,0.6055601948395012,0.5388568965364778,1.1243283680660323,1.7223045406230901,1.5550407669632147,11.524556168439878
556,Jourdan Smith,Grambling,0.9496409178017988,1.0742693236471557,0.6837412750816834,1.1187456425930264,-0.19336456884307632,1.5804186251205308,0.8412310473049202,0.8237363679171292,9.90595062375607
557,Terrence Lewis,Grambling,-0.43715845179008167,0.15365223491269459,0.2501333609553226,-0.017593563146922186,0.5388568965364778,-0.5045654071286035,-0.22864390886714278,-0.053828910938173054,4.814692133405106
558,Jalen Johnson,Grambling,0.04822132756707651,0.4544479173704889,0.4031714482940381,1.1554017460039925,-0.7686814344984403,0.34245935597260724,0.21189283779194187,0.09243196887104399,5.887717078094002
559,Mikale Stevenson,Grambling,-0.2984785148308936,0.14453721423215524,-0.13246185739146626,-0.05424966655788831,-0.19336456884307632,-0.17878665208967628,-0.29157772981844066,1.2625190073447805,5.409168200506404
