,Player,Team,GS,MP,FGA,PTS
459,Casey Morsell,NC State,1.0256061930909246,0.995964733589596,1.024823846331387,5.6029759184090375
460,Mohamed Diarra,NC State,0.08231762321139995,0.03906477633340894,0.06260673911215922,2.999982348133526
461,Ben Middlebrooks,NC State,-0.0784925730038546,-0.0904591668278378,-0.035811655385972925,2.6864364620834773
462,Michael O'Connell,NC State,-0.05897907592617063,-0.10102059835204698,-0.08354933570536384,2.8061484382378366
463,"Dennis Parker, Jr.",NC State,-0.24119899928609848,-0.26312198435260903,-0.28879959172863184,2.2306438071928407
464,MJ Rice,NC State,-0.34311587451857994,-0.3639261002346326,-0.3819035446267822,1.8927672625997585
465,LJ Thomas,NC State,-0.6408031799827537,-0.6512628660651146,-0.6735511492423314,1.0983669239346494
466,Breon Pass,NC State,-0.941311798624735,-0.9313032539570497,-0.9319414525090146,0.41308744772333883
467,Kam Woods,NC State,-0.9637346273964078,-0.9622297205428069,-0.9525312714587166,0.33569078535242314
468,Ernest Ross,NC State,-1.0881646728671681,-1.040202659149875,-1.0645986913202472,-0.052878003279080765
469,KJ Keatts,NC State,-1.1580815310250043,-1.1639788465903604,-1.1490484384987514,-0.16772553285786884
470,Alex Nunnally,NC State,-1.1895356519617892,-1.1554427761423203,-1.170446044020992,-0.19785416560301616
471,Jordan Snell,NC State,-1.1380940974538665,-1.181388148759058,-1.166750724624569,-0.18422872577354799
472,Dalton Knecht,Tennessee,2.7948036832155645,2.762130381084664,2.7426775182308436,10.412037814645403
473,Jonas Aidoo,Tennessee,1.148344664482687,1.1042085085422364,1.1054422644915276,5.986157083970685
474,Zakai Zeigler,Tennessee,1.0487960501299076,1.0567148526981573,1.0631414926538558,5.806204418134452
475,Josiah-Jordan James,Tennessee,0.4606721610339438,0.3883752922579854,0.4609433867577566,4.076443954066501
476,Jordan Gainey,Tennessee,0.17434144643183602,0.16223247647779543,0.18562773976134522,3.3829225381066985
477,Santiago Vescovi,Tennessee,0.1020347474367973,0.11455896873587294,0.1060763876502621,3.14788834971802
478,Tobe Awaka,Tennessee,-0.19133909156471018,-0.20298166218397176,-0.1646340394594866,2.4031715970780887
479,Jahmai Mashack,Tennessee,-0.25711398918018824,-0.2657230590290937,-0.2883931729680835,2.0829154590082037
480,D.J. Jefferson,Tennessee,-0.6280745719083979,-0.5753514060714228,-0.6276258165875028,1.2596070390328333
481,Freddie Dilione,Tennessee,-0.8128299818385261,-0.8248017726383743,-0.7945685494462578,0.693803341468167
482,J.P. Estrella,Tennessee,-0.8350390395709094,-0.8355842306237352,-0.820806578392724,0.698285822605194
483,Cameron Carr,Tennessee,-0.8193270976314138,-0.8353148633244561,-0.8843871399343579,0.6410606348345937
484,Cade Phillips,Tennessee,-0.9951437579199315,-1.0016662671106313,-1.0104143083253703,0.295904045816096
485,Colin Coyne,Tennessee,-1.068731490103365,-1.0693008523164664,-1.0793674089550676,0.06255588732945405
486,Grant Hurst,Tennessee,-1.1644965808933958,-1.1501509428955448,-1.1420405151136246,-0.15978484034969265
487,Kaylan Makan,Tennessee,-1.1714578817957466,-1.1708525362702547,-1.1834411433213108,-0.18320974644527288
488,Terrence Shannon,Illinois,3.1208608264362003,3.1470372645580227,3.1430420508935946,11.387852304943284
489,Marcus Domask,Illinois,1.8857775511814259,1.8582278351826762,1.8885198194237656,7.924304654633161
490,Coleman Hawkins,Illinois,1.1352858443594467,1.1500374689042943,1.1842329988841183,5.969994745601646
491,Quincy Guerrier,Illinois,0.6945075808327577,0.6579758292415723,0.6560558043935518,4.770157792231643
492,Ty Rodgers,Illinois,0.06483274099091703,0.09294743794709569,0.09605182198961075,3.0952751841133006
493,Dain Dainja,Illinois,0.04200715264286072,-0.0019377655378252459,0.015853853123317965,2.9724348513325607
494,Luke Goode,Illinois,-0.07628972433321624,-0.03634504165933604,-0.07415468653641255,2.822500908329854
495,Justin Harmon,Illinois,-0.04980557433531121,-0.044563070246931034,-0.07514960338107231,2.7868630614649743
496,Dra Gibbs-Lawhorn,Illinois,-0.6428024236201594,-0.641783135780965,-0.6414830737908878,1.2432464518068644
497,Amani Hansberry,Illinois,-0.7278586873021294,-0.7421560146631674,-0.7492899232920883,0.8019495759030826
498,Niccolo Moretti,Illinois,-0.9230132208931946,-0.8550547481418576,-0.913219953392093,0.567803055394787
499,AJ Redd,Illinois,-1.1261092826305976,-1.099261658941278,-1.0781304885521088,0.028075547812419277
500,Max Williams,Illinois,-1.1071605887809286,-1.1369158690194403,-1.0795212223039916,-0.052890421228938056
501,KJ Simpson,Colorado,2.5443514827743687,2.500775278230978,2.54324727927077,9.770412058582172
502,Tristan Da Silva,Colorado,1.8470657613362258,1.8546931368998667,1.8531482416568268,7.892678260999363
503,Cody Williams,Colorado,1.0750278378803277,1.0461356086456215,1.0254344914043472,5.800377720587823
504,J'Vonne Hadley,Colorado,1.028422489594449,0.9907028642803815,1.0398732496985665,5.556464857985231
505,Eddie Lampkin,Colorado,0.8609592996302243,0.8371971557594543,0.8561444349719276,5.305181100327376
506,Julian Hammond,Colorado,0.27963055748736254,0.275215217192736,0.2831796211160929,3.5800129158780325
507,Luke O'Brien,Colorado,0.1201372637527718,0.11828284322782356,0.15942649221114055,3.288481536383479
508,RJ Smith,Colorado,-0.6001134352482679,-0.6043159875790576,-0.5983333016607587,1.2995809587757252
509,Javon Ruffin,Colorado,-0.7639064228762038,-0.7077658733832588,-0.7667194050975932,0.8878982972472049
510,Bangot Dak,Colorado,-0.8421446448249779,-0.8145867345601221,-0.8194903506338129,0.6977016534048159
511,Assane Diop,Colorado,-0.8905069465273928,-0.9222414262858796,-0.9171527079787838,0.4273931829268576
512,Harrison Carrington,Colorado,-0.9504034053318979,-0.9351204783860239,-0.9386027553513743,0.3598663548228642
513,Greg Gerhardt,Colorado,-1.159595312301206,-1.174551761623134,-1.1713045502542234,-0.14909971606817773
514,Joe Hurlburt,Colorado,-1.1787605703951833,-1.126646779240932,-1.1045919429381423,-0.2254258550743682
515,Jack Pease,Colorado,-1.1440463689452094,-1.1368656846495153,-1.134822649518778,-0.08470348053007504
516,Riley Minix,Morehead State,2.7536190254510267,2.7760357771067383,2.7315551637656035,10.205573404257848
517,Jordan Lathon,Morehead State,1.7784578880794903,1.816876007362129,1.7568038302349618,7.672409330226897
518,Kalil Thomas,Morehead State,1.1910851602050108,1.1715974850984456,1.1856605967447618,6.030944970140209
519,Drew Thelwell,Morehead State,0.7418004059835932,0.7028526132678975,0.774515188715585,4.944649721540172
520,Eddie Ricks III,Morehead State,0.2540191782109706,0.24881491983190865,0.2796371088158792,3.5954231617990553
521,Dieonte Miles,Morehead State,-0.19578200126079237,-0.21815116590147865,-0.20018847067575687,2.4055004692265882
522,Trent Scott,Morehead State,-0.26764670924563577,-0.2520367864513167,-0.27684021878864074,2.1279840127194336
523,Zach Iyeyemi,Morehead State,-0.7384591398891911,-0.7307853543301986,-0.6758868779020246,0.9005820858586193
524,George Marshall,Morehead State,-0.6991606006516351,-0.7656341237672935,-0.7472315192022405,0.9243514205670103
525,Jerone Morton,Morehead State,-0.7499182581938879,-0.7404213643005636,-0.7518624555110107,0.949690286031381
526,Brady Dingess,Morehead State,-1.0222866181097308,-1.0712991256893825,-1.0405005924930282,0.12558947067259485
527,Baylor Scheierman,Creighton,2.2767887525038546,2.272477708656144,2.2914561727673686,9.065205270776417
528,Trey Alexander,Creighton,2.188661077517051,2.212477989363346,2.2126082858635288,8.69783012483081
529,Ryan Kalkbrenner,Creighton,2.044261540292116,2.0612765872421535,2.033086038783364,8.541354508669183
530,Steven Ashworth,Creighton,0.9357792039526663,0.9364243746973849,0.9353588724219302,5.436082899011453
531,Mason Miller,Creighton,-0.053818638535930205,-0.1157789944436689,-0.10430221741822503,2.755315608905535
532,Francisco Farabello,Creighton,-0.3864588304833841,-0.4366888933100932,-0.392656795353938,1.9101351816866405
533,Isaac Traudt,Creighton,-0.5832808251575189,-0.6039141540077069,-0.5910479424932338,1.2172721955467622
534,Fredrick King,Creighton,-0.6507955787147223,-0.6811895525976627,-0.6627011616531342,1.2598833148182127
535,Jasen Green,Creighton,-0.8609643892658644,-0.8605391945290376,-0.8863634642154481,0.5912936580042767
536,Josiah Dotzler,Creighton,-0.9239227431951694,-0.8586610392905761,-0.8986100672600067,0.5588044132236387
537,Johnathan Lawson,Creighton,-1.020294457812242,-1.0677954691290217,-1.0003281054004558,0.3893960474607465
538,Walter Clayton,Florida,2.1305143565678017,2.1705669993688548,2.1691363173052793,8.69808723741593
539,Zyon Pullin,Florida,1.7319760985933166,1.7498708093331543,1.7753826719917365,7.529439489188976
540,Tyrese Samuel,Florida,1.4558355243787906,1.474090831309776,1.4498913049214317,6.836939019786502
541,Will Richard,Florida,1.0238647262870253,0.9911380263007554,1.0126352656188045,5.560159464731788
542,Riley Kugel,Florida,0.6306313481014736,0.6275913093981186,0.6158635873428673,4.586070047981292
543,Alex Condon,Florida,0.2791597943928198,0.26557328868447627,0.2970249729292649,3.6728346121200266
544,Micah Handlogten,Florida,-0.13970595883804468,-0.15639347087906297,-0.14780881707122784,2.4439081717958975
545,Thomas Haugh,Florida,-0.45343679109463125,-0.4110277306014543,-0.5003687564746221,1.755463967927466
546,Denzel Aberdeen,Florida,-0.4562042047649787,-0.49406100578026074,-0.4976596486595088,1.4928294439543486
547,Julian Rishwain,Florida,-0.8304291830234887,-0.8859185448905943,-0.8721157944560015,0.718312966884795
548,Kajus Kublickas,Florida,-1.0308367054901255,-0.9772998862026911,-0.99411938965261,0.3148172205946218
549,Bennett Andersen,Florida,-1.0734619329759651,-1.086044990091415,-1.0627551965589213,0.09520198234064603
550,Cooper Josefsberg,Florida,-1.1553379310277034,-1.1695770910335912,-1.1196490157889727,-0.11581961086825832
551,Alex Klatsky,Florida,-1.165875253306232,-1.1277422289163461,-1.1236329872085948,-0.07078888634974101
552,Jack May,Florida,-1.1973303705759337,-1.1602351222831775,-1.179308528125588,-0.2335981076412943
553,Dozier Kintavious,Grambling,1.2972573025460277,1.3127772212433921,1.3252570669841457,6.370728383003016
554,Tra'michael Moton,Grambling,1.1341272712762343,1.106353690725446,1.1042665653392814,5.980614996528725
555,Antwan Burnett,Grambling,0.6776133984679934,0.7717652744718974,0.7601131381666755,4.842576440094028
556,Jourdan Smith,Grambling,0.7123681154093632,0.6751162387421039,0.691315168900527,4.779697516543614
557,Terrence Lewis,Grambling,0.319643931509955,0.35077839268480837,0.3386901675633856,3.8066594131034277
558,Jalen Johnson,Grambling,0.19797622544533655,0.2836990501363836,0.2465467666506594,3.6394290958015083
559,Mikale Stevenson,Grambling,-0.27547710040473505,-0.2740598691840597,-0.2328812084421273,2.285121038143854
560,Jonathan Aku,Grambling,-0.3085256992265358,-0.29641376929215507,-0.3259359591070359,2.037612252856184
561,Jimel Cofer,Grambling,-0.5084619462438792,-0.5132304173699898,-0.5607550252767411,1.5897431251930048
562,Zahad Munford,Grambling,-0.8017433193213468,-0.8171297879611806,-0.8221044307437665,0.6932167368352369
563,Quintin Murrell,Grambling,-0.7933927794445813,-0.8634921227473464,-0.8630030655347055,0.5808500133257506
564,William Reynolds,Grambling,-0.9344719205230605,-0.9398484575919311,-0.9401648949368424,0.48305321343910634
565,Malik Lamin,Grambling,-1.026017653182886,-1.0542717137585225,-1.0215710265263804,0.19462399128015573
566,Elvis Nnaji,Grambling,-1.0998611012999986,-1.077426796259053,-1.0952122584997832,0.02692122483856707
567,Kevin McCullar,Kansas,2.3171132471346145,2.286730425838327,2.246696394439135,9.016715571883832
568,Hunter Dickinson,Kansas,2.2204275348544815,2.2103967428804094,2.210770855234857,8.789266878233056
569,KJ Adams,Kansas,1.147354098660099,1.1874129154461155,1.2508738961385155,6.196491831090028
570,Johnny Furphy,Kansas,0.5224993342408787,0.5307600707852222,0.5717211397773146,4.437266216384838
571,Dajuan Harris,Kansas,0.4819367571175504,0.4819454309485625,0.47593186446116,4.204056411402137
572,Nicolas Timberlake,Kansas,-0.13363614318852676,-0.18194072254308924,-0.18492243897378688,2.553272985873347
573,Elmarko Jackson,Kansas,-0.3372859739143977,-0.3887709316363163,-0.3422163472461092,2.001998455425581
574,Parker Braun,Kansas,-0.771176009159681,-0.7247497528946127,-0.7494409185518881,0.9529552993020238
575,Jamari McDowell,Kansas,-0.7904569374664553,-0.7798304133911509,-0.8313097908551583,0.7292768676968233
576,Michael Jankovich,Kansas,-0.8542919566494569,-0.8675539848099351,-0.8364385054023031,0.61579611702739
577,Patrick Cassidy,Kansas,-1.0082411727868164,-1.0127491680601002,-0.9551994094684061,0.3045727809942118
578,Wilder Evers,Kansas,-0.9882365593101503,-1.0461797329501794,-1.0190527465209427,0.27613698655989927
579,Dillon Wilhite,Kansas,-1.106330110967612,-1.0973647177168593,-1.0925983642791135,0.0005454599294516527
580,Chris Carter,Kansas,-1.2062978461895346,-1.1436425323615627,-1.177313236214301,-0.17174265488600282
581,Reyne Smith,College of Charleston,1.2474351716292642,1.2168023753538457,1.2245342807723585,6.286925336470356
582,Ante Brzovic,College of Charleston,1.1451769435051715,1.1564455955763986,1.1637088646819511,5.98898795511929
583,Ben Burnham,College of Charleston,1.0679181190190756,1.0582276053646924,1.094635185011351,5.872049874008627
584,Kobe Rodgers,College of Charleston,0.6297446840187096,0.6889505738646629,0.651413358972649,4.753712689797819
585,Frankie Policelli,College of Charleston,0.6564746475546176,0.6567869625091839,0.6849329251724925,4.586334398088514
586,Bryce Butler,College of Charleston,0.43322946907687865,0.4452233675280278,0.3760189252970247,4.007780470944217
587,James Scott,College of Charleston,-0.21865551972994104,-0.2047602525685869,-0.21416921253459062,2.3154719589365667
588,Jordan Crawford,College of Charleston,-0.2574858092355365,-0.24356407693799828,-0.24676521850194377,2.150711141168091
589,CJ Fulton,College of Charleston,-0.34775477317066156,-0.3540723545492265,-0.3626226280980326,1.975941026863592
590,Khalil London,College of Charleston,-0.5745683699447157,-0.6064557136122335,-0.5639939272540456,1.355576048787584
591,Mayar Wol,College of Charleston,-0.885759939949774,-0.9342464812263782,-0.9314638053283644,0.3626352274379214
592,Spencer Legg,College of Charleston,-1.0167688646592634,-1.0092374745694406,-0.9925158216698536,0.2863571501225226
593,Evan Kilminster,College of Charleston,-1.0355081212924455,-0.9734694788575807,-1.0055083661958495,0.201283276911143
594,Adam Comer,College of Charleston,-1.1110328473308995,-1.0840367331102974,-1.0444658583190256,0.09585697166091389
595,Jack Miller,College of Charleston,-1.1388503913746402,-1.1319827978766848,-1.1345578997561947,-0.07545859598613047
596,Dylan Ritter,College of Charleston,-1.1564738410202655,-1.1488523669315718,-1.1500717794784803,-0.16499168344038395
597,Shahada Wells,McNeese State,2.1982760466524676,2.1900982703336473,2.2049720427817205,8.776396476656723
598,Christian Shumate,McNeese State,1.1266458476841237,1.1070187892847154,1.096490192340354,5.799614146499135
599,DJ Richards,McNeese State,0.9560247827193126,0.9349739569655137,1.0015982550103864,5.549745487559626
600,Javohn Garcia,McNeese State,0.9091011981223062,0.9593621514125096,0.9606365509327823,5.4532010297368
601,Antavion Collum,McNeese State,0.49173606738758086,0.4456045571835654,0.48798065534476603,4.243141262365199
602,Nasir Mann,McNeese State,0.24513422883789712,0.2226272816439487,0.2542317676955643,3.602048678996166
603,CJ Felder,McNeese State,0.009048750312043734,-0.0015609012490710144,0.009665295550654573,2.909357065723302
604,Mike Saunders,McNeese State,-0.02411374019742823,-0.05417487656338273,-0.036316812172453514,2.8325788295045884
605,Dionjahe Thomas,McNeese State,-0.17538717064350254,-0.1631651570535331,-0.17081783616397392,2.465482948432229
606,Omar Cooper,McNeese State,-0.4605970063646342,-0.4246674842219254,-0.425842878527889,1.7700206320982843
607,Cameron Jones,McNeese State,-0.47093968520235074,-0.5304048464400893,-0.4900283773612425,1.6050748300993924
608,Roberts Berze,McNeese State,-0.5483329340350006,-0.5608236764399172,-0.5436191087399814,1.5080488250889137
609,Wesley Fields,McNeese State,-0.6927087215452478,-0.6864222782211468,-0.7081864490320038,1.0365481750712449
610,T'Johnn Brown,McNeese State,-0.7327554619435838,-0.73456374594092,-0.7614743767870161,1.0150710549187951
611,Ja'Kobe Walter,Baylor,1.6365140380180527,1.5506121199901237,1.5883007799549465,7.131600188647425
612,Rayj Dennis,Baylor,1.4551181525481351,1.4190706536899578,1.416373525957544,6.784340966628605
613,Jalen Bridges,Baylor,1.1398768439381781,1.0943349605843051,1.1611134285695046,5.894882088099827
614,Langston Love,Baylor,0.9073009726562578,0.9405593644601381,0.9198711954308445,5.279745125209205
615,Yves Missi,Baylor,0.8586989402021445,0.8227045514832586,0.8269936835253661,5.1293488207788815
616,Jayden Nunn,Baylor,0.7707286483256738,0.7897702447724408,0.8019209361948189,5.148948887748173
617,Josh Ojianwuna,Baylor,-0.2832915007633405,-0.22317017022488322,-0.2337525042258137,2.18878081582574
618,Dantwan Grimes,Baylor,-0.26959972743812444,-0.31529699674734263,-0.2553420148106385,2.2276939397650968
619,Caleb Lohner,Baylor,-0.6528824923511973,-0.7140137476248942,-0.6878847783549448,1.0165827978164372
620,Miro Little,Baylor,-0.8442643140910352,-0.810473271869294,-0.8648599432302727,0.789453028748599
621,Jonathan Tchamwa Tchatchoua,Baylor,-0.9074164131394362,-0.8794203617352988,-0.9114607891693289,0.5796658558823089
622,Austin Sacks,Baylor,-0.9422479358740337,-0.9336744546920054,-0.9306949308885538,0.3674416479701894
623,Jalen Blackmon,Stetson,2.795999164715776,2.8655091227122456,2.8783688629316515,10.586046890011698
